game_pk,game_date,season,game_type,status_code,doubleheader,game_number,home_id,home_abbr,away_id,away_abbr,venue_id,statsapi_path,statsapi_bytes,statsapi_sha256,savant_path,savant_rows,savant_bytes,savant_sha256
748157,2024-03-01,2024,S,F,N,1,119,LAD,114,CLE,3809,,,,,,,
748158,2024-03-01,2024,S,F,N,1,135,SD,108,LAA,2530,,,,,,,
748159,2024-03-01,2024,S,F,N,1,143,PHI,146,MIA,2700,,,,,,,
748160,2024-03-01,2024,S,F,N,1,116,DET,143,PHI,2511,,,,,,,
748161,2024-03-01,2024,S,F,N,1,134,PIT,139,TB,2526,,,,,,,
748162,2024-03-01,2024,S,F,N,1,138,STL,121,NYM,2520,,,,,,,
748163,2024-03-01,2024,S,F,N,1,147,NYY,141,TOR,2523,,,,,,,
748164,2024-03-01,2024,S,F,N,1,142,MIN,111,BOS,2862,,,,,,,
748165,2024-03-01,2024,S,F,N,1,120,WSH,117,HOU,5000,,,,,,,
748166,2024-03-01,2024,S,F,N,1,144,ATL,110,BAL,5380,,,,,,,
748135,2024-03-02,2024,S,F,N,1,137,SF,135,SD,2532,,,,,,,
748136,2024-03-02,2024,S,F,N,1,140,TEX,145,CWS,2603,,,,,,,
748137,2024-03-02,2024,S,F,N,1,115,COL,113,CIN,4249,,,,,,,
748138,2024-03-02,2024,S,F,N,1,158,MIL,119,LAD,2518,,,,,,,
748139,2024-03-02,2024,S,F,N,1,136,SEA,133,OAK,2530,,,,,,,
748140,2024-03-02,2024,S,F,N,1,114,CLE,118,KC,3834,,,,,,,
748141,2024-03-02,2024,S,F,N,1,110,BAL,147,NYY,2508,,,,,,,
748142,2024-03-02,2024,S,F,N,1,108,LAA,109,AZ,2500,,,,,,,
748143,2024-03-02,2024,S,F,N,1,119,LAD,112,CHC,3809,,,,,,,
748144,2024-03-02,2024,S,F,N,1,141,TOR,144,ATL,2536,,,,,,,
748145,2024-03-02,2024,S,F,N,1,117,HOU,138,STL,5000,,,,,,,
748146,2024-03-02,2024,S,F,N,1,143,PHI,142,MIN,2700,,,,,,,
748147,2024-03-02,2024,S,F,N,1,116,DET,134,PIT,2511,,,,,,,
748148,2024-03-02,2024,S,F,N,1,139,TB,111,BOS,2534,,,,,,,
748149,2024-03-02,2024,S,F,N,1,146,MIA,121,NYM,2520,,,,,,,
748150,2024-03-02,2024,S,F,N,1,111,BOS,120,WSH,4309,,,,,,,
748119,2024-03-03,2024,S,F,N,1,109,AZ,158,MIL,4249,,,,,,,
748120,2024-03-03,2024,S,F,N,1,108,LAA,145,CWS,2500,,,,,,,
748121,2024-03-03,2024,S,F,N,1,114,CLE,137,SF,3834,,,,,,,
748122,2024-03-03,2024,S,F,N,1,135,SD,136,SEA,2530,,,,,,,
