year,season_id,date,home_team,home_team_id,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,result,score,innings,slug,game_info_url,Date,Opponent,Result,opponent_slug
2020,15204,03/07/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Ouachita Baptist,1289,GAC,30144,/team/1289/15204,2,NA,W,13-9,9,/contests/1834148/box_score,https://stats.ncaa.org/contests/1834148/box_score,NA,NA,NA,NA
2020,15204,03/07/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Ouachita Baptist,1289,GAC,30144,/team/1289/15204,2,NA,L,0-5,NA,/contests/1849764/box_score,https://stats.ncaa.org/contests/1849764/box_score,NA,NA,NA,NA
2020,15204,03/10/2020,Southwestern Okla.,8744,GAC,30144,/team/8744/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,NA,W,16-6,NA,/contests/1834897/box_score,https://stats.ncaa.org/contests/1834897/box_score,NA,NA,NA,NA
2020,15204,01/31/2020,Tex. A&M-Kingsville,696,Lone Star,868,/team/696/15204,2,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,NA,L,1-3,NA,/contests/1829602/box_score,https://stats.ncaa.org/contests/1829602/box_score,NA,NA,NA,NA
2020,15204,02/01/2020,Tex. A&M-Kingsville,696,Lone Star,868,/team/696/15204,2,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,NA,L,8-15,NA,/contests/1829668/box_score,https://stats.ncaa.org/contests/1829668/box_score,NA,NA,NA,NA
2020,15204,02/02/2020,Tex. A&M-Kingsville,696,Lone Star,868,/team/696/15204,2,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,NA,L,10-13,NA,/contests/1829731/box_score,https://stats.ncaa.org/contests/1829731/box_score,NA,NA,NA,NA
2020,15204,02/09/2020,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,Angelo St.,25,Lone Star,868,/team/25/15204,2,NA,L,3-5,NA,/contests/1829935/box_score,https://stats.ncaa.org/contests/1829935/box_score,NA,NA,NA,NA
2020,15204,02/09/2020,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,Angelo St.,25,Lone Star,868,/team/25/15204,2,NA,L,8-9,NA,/contests/1830042/box_score,https://stats.ncaa.org/contests/1830042/box_score,NA,NA,NA,NA
2020,15204,02/10/2020,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,Angelo St.,25,Lone Star,868,/team/25/15204,2,NA,L,4-9,NA,/contests/1829797/box_score,https://stats.ncaa.org/contests/1829797/box_score,NA,NA,NA,NA
2020,15204,02/14/2020,Tex. A&M Int'l,30090,Lone Star,868,/team/30090/15204,2,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,NA,W,8-0,NA,/contests/1830174/box_score,https://stats.ncaa.org/contests/1830174/box_score,NA,NA,NA,NA
2020,15204,02/15/2020,Tex. A&M Int'l,30090,Lone Star,868,/team/30090/15204,2,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,NA,L,2-9,NA,/contests/1830524/box_score,https://stats.ncaa.org/contests/1830524/box_score,NA,NA,NA,NA
2020,15204,02/15/2020,Tex. A&M Int'l,30090,Lone Star,868,/team/30090/15204,2,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,NA,W,7-4,NA,/contests/1848559/box_score,https://stats.ncaa.org/contests/1848559/box_score,NA,NA,NA,NA
2020,15204,02/16/2020,Tex. A&M Int'l,30090,Lone Star,868,/team/30090/15204,2,Okla. Christian,30179,Lone Star,868,/team/30179/15204,2,NA,W,12-6,NA,/contests/1830838/box_score,https://stats.ncaa.org/contests/1830838/box_score,NA,NA,NA,NA
